timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618758415489,327,HTTP multiply,200,OK,Assignment 1 1-1,text,true,,605,447,10,10,http://www.dneonline.com/calculator.asmx,327,0,0
1618758415511,349,HTTP multiply,200,OK,Assignment 1 1-10,text,true,,605,447,9,9,http://www.dneonline.com/calculator.asmx,349,0,0
1618758415516,343,HTTP multiply,200,OK,Assignment 1 1-5,text,true,,605,447,9,9,http://www.dneonline.com/calculator.asmx,343,0,0
1618758415534,357,HTTP multiply,200,OK,Assignment 1 1-4,text,true,,605,447,7,7,http://www.dneonline.com/calculator.asmx,357,0,0
1618758415565,339,HTTP multiply,200,OK,Assignment 1 1-3,text,true,,605,447,6,6,http://www.dneonline.com/calculator.asmx,339,0,0
1618758415532,371,HTTP multiply,200,OK,Assignment 1 1-6,text,true,,605,447,6,6,http://www.dneonline.com/calculator.asmx,370,0,0
1618758415558,352,HTTP multiply,200,OK,Assignment 1 1-2,text,true,,605,447,6,6,http://www.dneonline.com/calculator.asmx,352,0,0
1618758415553,367,HTTP multiply,200,OK,Assignment 1 1-8,text,true,,605,447,4,4,http://www.dneonline.com/calculator.asmx,367,0,0
1618758415542,386,HTTP multiply,200,OK,Assignment 1 1-9,text,true,,605,447,2,2,http://www.dneonline.com/calculator.asmx,386,0,0
1618758415573,355,HTTP multiply,200,OK,Assignment 1 1-7,text,true,,605,447,2,2,http://www.dneonline.com/calculator.asmx,355,0,0
